Compound,sample,isotope,treatment,tank,tube,enrichment
Lysine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.018673637754667006
Lysine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.013410953096739625
Lysine,13C_High-H1_I21,13C,High,H1,I21,0.01703752486005652
Lysine,13C_High-H2_I22,13C,High,H2,I22,0.029031587799321135
Lysine,13C_High-H3_I23,13C,High,H3,I23,0.01745172174354663
Lysine,13C_High-H4_I24,13C,High,H4,I24,0.026532555439982303
Lysine,13C_High-H5_I25,13C,High,H5,I25,0.019595868316459347
Lysine,13C_High-H6_I26,13C,High,H6,I26,0.022983379674697154
NAD+,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.01917335859261137
NAD+,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.04256796039851442
NAD+,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.02659547971670606
NAD+,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.0438866473667802
NAD+,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.07231926309255425
NAD+,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.048714676702090044
NAD+,13C_High-H1_I21,13C,High,H1,I21,0.024995527247099764
NAD+,13C_High-H2_I22,13C,High,H2,I22,0.019182046254812384
NAD+,13C_High-H3_I23,13C,High,H3,I23,0.025645029722443948
NAD+,13C_High-H4_I24,13C,High,H4,I24,0.02591545479940208
NAD+,13C_High-H5_I25,13C,High,H5,I25,0.0234476915334013
NAD+,13C_High-H6_I26,13C,High,H6,I26,0.023441414655217603
Ornithine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.03208586286851955
Ornithine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.027444477418595813
Ornithine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.0024081232419512167
Ornithine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.02486889968568353
Ornithine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.010576361070778705
Ornithine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.017329601717170563
Ornithine,13C_High-H1_I21,13C,High,H1,I21,0.012973757457870013
Ornithine,13C_High-H2_I22,13C,High,H2,I22,0.02233394022567518
Ornithine,13C_High-H3_I23,13C,High,H3,I23,0.04397095258078403
Ornithine,13C_High-H4_I24,13C,High,H4,I24,0.050028042274235074
Ornithine,13C_High-H5_I25,13C,High,H5,I25,0.042836540748254645
Ornithine,13C_High-H6_I26,13C,High,H6,I26,0.044356869541199904
