Compound,sample,isotope,treatment,tank,tube,log.intensity.norm
Theanine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.8931624450461348
Theanine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.8473672365029313
Theanine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.8779878838878276
Theanine,13C_High-H1_I21,13C,High,H1,I21,0.7367760587712614
Theanine,13C_High-H2_I22,13C,High,H2,I22,0.5820310285809456
Theanine,13C_High-H3_I23,13C,High,H3,I23,0.7593630479805789
Theanine,13C_High-H4_I24,13C,High,H4,I24,0.7135746377113508
Theanine,13C_High-H5_I25,13C,High,H5,I25,0.49590314273461306
Theanine,13C_High-H6_I26,13C,High,H6,I26,0.5059162907239015
Thymine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.13623645032339662
Thymine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.11140728635897378
Thymine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.09276067632053071
Thymine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.10833634506158805
Thymine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.08682001193399679
Thymine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.10095017784221849
Thymine,13C_High-H1_I21,13C,High,H1,I21,0.060109313990918636
Thymine,13C_High-H2_I22,13C,High,H2,I22,0.06814718523338027
Thymine,13C_High-H3_I23,13C,High,H3,I23,0.07444295186611909
Thymine,13C_High-H4_I24,13C,High,H4,I24,0.1022458409642115
Thymine,13C_High-H5_I25,13C,High,H5,I25,0.09831443734635531
Thymine,13C_High-H6_I26,13C,High,H6,I26,0.11012823192797258
UMP,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.9209880159201387
UMP,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.7518666812378085
UMP,13C_Ambient-A3_I3,13C,Ambient,A3,I3,2.010999259053392
UMP,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.8034903436073981
UMP,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.7477217520146353
UMP,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.7448137598191147
UMP,13C_High-H1_I21,13C,High,H1,I21,1.872091234484746
UMP,13C_High-H2_I22,13C,High,H2,I22,2.076347562251296
UMP,13C_High-H3_I23,13C,High,H3,I23,1.878180921081651
UMP,13C_High-H4_I24,13C,High,H4,I24,2.225825264267464
UMP,13C_High-H5_I25,13C,High,H5,I25,1.9532730740687394
UMP,13C_High-H6_I26,13C,High,H6,I26,2.118191598024077
Valine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.214955219584115
Valine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.1337021190654097
Valine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.2059928020954276
Valine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.0600774462333322
Valine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.0811553110638341
Valine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.1543873373160962
Valine,13C_High-H1_I21,13C,High,H1,I21,0.8341916213934097
Valine,13C_High-H2_I22,13C,High,H2,I22,0.6912954010594207
Valine,13C_High-H3_I23,13C,High,H3,I23,0.9493809610425792
Valine,13C_High-H4_I24,13C,High,H4,I24,1.0492069175478813
Valine,13C_High-H5_I25,13C,High,H5,I25,0.990994662464569
Valine,13C_High-H6_I26,13C,High,H6,I26,0.8873057952973241
Xylose-5-phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.16752866832168098
Xylose-5-phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.15157959352213654
Xylose-5-phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.1531070056910776
Xylose-5-phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.1207850707862464
Xylose-5-phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1535692697251017
Xylose-5-phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.13597210624447434
Xylose-5-phosphate,13C_High-H1_I21,13C,High,H1,I21,0.05064305217107009
Xylose-5-phosphate,13C_High-H2_I22,13C,High,H2,I22,0.0930927218963113
Xylose-5-phosphate,13C_High-H3_I23,13C,High,H3,I23,0.10663969069149347
Xylose-5-phosphate,13C_High-H4_I24,13C,High,H4,I24,0.07721483311137674
Xylose-5-phosphate,13C_High-H5_I25,13C,High,H5,I25,0.09130621387380622
Xylose-5-phosphate,13C_High-H6_I26,13C,High,H6,I26,0.131791049019198
