Compound,sample,isotope,treatment,tank,tube,log.intensity.norm
Malate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,3.2250144492961828
Malate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,2.8667728522822378
Malate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,3.023681946686074
Malate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,3.9023237767128793
Malate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,2.8593554188501384
Malate,12C_High-H1_I27,12C,High,H1,I27,4.646733435332113
Malate,12C_High-H2_I28,12C,High,H2,I28,3.03749290190155
Malate,12C_High-H3_I29,12C,High,H3,I29,3.197338196669789
Malate,12C_High-H4_I30,12C,High,H4,I30,2.947938007273722
Malate,12C_High-H5_I31,12C,High,H5,I31,2.9053123436394666
Malate,12C_High-H6_I32,12C,High,H6,I32,3.0902599081532425
Malate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,3.615910874931723
Malate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,3.3374695015868077
Malate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,3.551738831109629
Malate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,3.1871630072970953
Malate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,3.3653170776103005
Malate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,3.479486619969369
Malate,13C_High-H1_I21,13C,High,H1,I21,3.1949196476019597
Malate,13C_High-H2_I22,13C,High,H2,I22,3.589055540458931
Malate,13C_High-H3_I23,13C,High,H3,I23,3.2386217956196797
Malate,13C_High-H4_I24,13C,High,H4,I24,3.9049494779082337
Malate,13C_High-H5_I25,13C,High,H5,I25,3.2229183550044365
Malate,13C_High-H6_I26,13C,High,H6,I26,3.474749552197836
Succinate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,2.7426552665024757
Succinate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,2.978232839085384
Succinate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,3.352565455640789
Succinate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,2.5102831406246295
Succinate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,3.383384657890436
Succinate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,2.4665404352039393
Succinate,12C_High-H1_I27,12C,High,H1,I27,3.5045655923450885
Succinate,12C_High-H2_I28,12C,High,H2,I28,3.1411750003524816
Succinate,12C_High-H3_I29,12C,High,H3,I29,3.027019170795579
Succinate,12C_High-H4_I30,12C,High,H4,I30,4.0724005433797625
Succinate,12C_High-H5_I31,12C,High,H5,I31,3.4855835158306405
Succinate,12C_High-H6_I32,12C,High,H6,I32,3.4227209434734616
Succinate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,2.8904862085389387
Succinate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,2.540338239876939
Succinate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,3.0800022195637093
Succinate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,2.394168897749194
Succinate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,2.599741715582568
Succinate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,2.7923574220581644
Succinate,13C_High-H1_I21,13C,High,H1,I21,2.927078928548619
Succinate,13C_High-H2_I22,13C,High,H2,I22,2.9662159838456565
Succinate,13C_High-H3_I23,13C,High,H3,I23,2.6798813702115964
Succinate,13C_High-H4_I24,13C,High,H4,I24,2.854529425773499
Succinate,13C_High-H5_I25,13C,High,H5,I25,2.716252073619913
Succinate,13C_High-H6_I26,13C,High,H6,I26,2.7488254795175733
a-ketoglutarate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,1.0606013475913003
a-ketoglutarate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,1.1394810471927195
a-ketoglutarate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,1.8735271482050904
a-ketoglutarate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.8314564923709091
a-ketoglutarate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.89849580967035525
a-ketoglutarate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.8257489711654762
a-ketoglutarate,12C_High-H1_I27,12C,High,H1,I27,1.0365456203767205
a-ketoglutarate,12C_High-H2_I28,12C,High,H2,I28,1.2377940919244146
a-ketoglutarate,12C_High-H3_I29,12C,High,H3,I29,1.1257242390289381
a-ketoglutarate,12C_High-H4_I30,12C,High,H4,I30,1.459548582576924
a-ketoglutarate,12C_High-H5_I31,12C,High,H5,I31,1.6485069953302283
a-ketoglutarate,12C_High-H6_I32,12C,High,H6,I32,0.9246775123621679
a-ketoglutarate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.8373296495091578
a-ketoglutarate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.7723229062042928
a-ketoglutarate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.6631706990194608
a-ketoglutarate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.7580765849356154
a-ketoglutarate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.8076604840622156
a-ketoglutarate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.7329545162770613
a-ketoglutarate,13C_High-H1_I21,13C,High,H1,I21,0.9832289319176585
a-ketoglutarate,13C_High-H2_I22,13C,High,H2,I22,0.9176623620096287
a-ketoglutarate,13C_High-H3_I23,13C,High,H3,I23,0.9293867785880868
a-ketoglutarate,13C_High-H4_I24,13C,High,H4,I24,0.9759177694095196
a-ketoglutarate,13C_High-H5_I25,13C,High,H5,I25,0.908843011076421
a-ketoglutarate,13C_High-H6_I26,13C,High,H6,I26,0.9692195843746627
Lactate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,2.7324144560249373
Lactate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,2.617138787425543
Lactate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,2.1850134110924695
Lactate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,2.3322564104928043
Lactate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,4.176219205066099
Lactate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,2.7611865730728713
Lactate,12C_High-H1_I27,12C,High,H1,I27,5.289921707040726
Lactate,12C_High-H2_I28,12C,High,H2,I28,2.4685972305378656
Lactate,12C_High-H3_I29,12C,High,H3,I29,2.1036403638070924
Lactate,12C_High-H4_I30,12C,High,H4,I30,3.5991894751229694
Lactate,12C_High-H5_I31,12C,High,H5,I31,2.558967609041827
Lactate,12C_High-H6_I32,12C,High,H6,I32,2.6233466332395126
Lactate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,2.898509099352014
Lactate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,2.4838197407104614
Lactate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,3.547528283224722
Lactate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,2.912595740035886
Lactate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,3.0107165492226726
Lactate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,2.866022862806525
Lactate,13C_High-H1_I21,13C,High,H1,I21,2.657406631593491
Lactate,13C_High-H2_I22,13C,High,H2,I22,3.7472603018020862
Lactate,13C_High-H3_I23,13C,High,H3,I23,2.2615515069694316
Lactate,13C_High-H4_I24,13C,High,H4,I24,3.85183263213502
Lactate,13C_High-H5_I25,13C,High,H5,I25,2.4727604572341946
Lactate,13C_High-H6_I26,13C,High,H6,I26,2.4381528043688507
Pyruvate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,0.7956582146121228
Pyruvate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,0.8341741485321587
Pyruvate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,1.0412908087791324
Pyruvate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.6612660589038428
Pyruvate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.9011202086307916
Pyruvate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.7593385300768452
Pyruvate,12C_High-H1_I27,12C,High,H1,I27,1.0695620552032457
Pyruvate,12C_High-H2_I28,12C,High,H2,I28,0.886605492985219
Pyruvate,12C_High-H3_I29,12C,High,H3,I29,1.0303807077049871
Pyruvate,12C_High-H4_I30,12C,High,H4,I30,0.9124619939471069
Pyruvate,12C_High-H5_I31,12C,High,H5,I31,1.0391648542145064
Pyruvate,12C_High-H6_I32,12C,High,H6,I32,0.9165264146768587
Pyruvate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.9112031648596959
Pyruvate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.8966909774477269
Pyruvate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.0887066527449907
Pyruvate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.8423013017773919
Pyruvate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.8078843043765354
Pyruvate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.8388791473399905
Pyruvate,13C_High-H1_I21,13C,High,H1,I21,0.8579034448274311
Pyruvate,13C_High-H2_I22,13C,High,H2,I22,0.9018491576515574
Pyruvate,13C_High-H3_I23,13C,High,H3,I23,0.7726187504916602
Pyruvate,13C_High-H4_I24,13C,High,H4,I24,1.0862347970779478
Pyruvate,13C_High-H5_I25,13C,High,H5,I25,0.9987053438944147
Pyruvate,13C_High-H6_I26,13C,High,H6,I26,0.9980861881052693
3-Phosphoglycerate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,0.12005412481392155
3-Phosphoglycerate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,0.1552649340553117
3-Phosphoglycerate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,0.054786798372456307
3-Phosphoglycerate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.08207161720524679
3-Phosphoglycerate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.07216647001480696
3-Phosphoglycerate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.04188141691182922
3-Phosphoglycerate,12C_High-H1_I27,12C,High,H1,I27,0.13702541225467407
3-Phosphoglycerate,12C_High-H2_I28,12C,High,H2,I28,0.05378383678969363
3-Phosphoglycerate,12C_High-H3_I29,12C,High,H3,I29,0.050260227941780186
3-Phosphoglycerate,12C_High-H4_I30,12C,High,H4,I30,0.01812207306052514
3-Phosphoglycerate,12C_High-H5_I31,12C,High,H5,I31,0.06747026730583343
3-Phosphoglycerate,12C_High-H6_I32,12C,High,H6,I32,0.040709868622588685
3-Phosphoglycerate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.10668447991450947
3-Phosphoglycerate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0730315618121632
3-Phosphoglycerate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.07470992797074495
3-Phosphoglycerate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.0645584475050235
3-Phosphoglycerate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.09265404574260812
3-Phosphoglycerate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.10788726708595414
3-Phosphoglycerate,13C_High-H1_I21,13C,High,H1,I21,0.10827496408070385
3-Phosphoglycerate,13C_High-H2_I22,13C,High,H2,I22,0.060002999053196206
3-Phosphoglycerate,13C_High-H3_I23,13C,High,H3,I23,0.07218130264387236
3-Phosphoglycerate,13C_High-H4_I24,13C,High,H4,I24,0.19041871226640422
3-Phosphoglycerate,13C_High-H5_I25,13C,High,H5,I25,0.07135405799473693
3-Phosphoglycerate,13C_High-H6_I26,13C,High,H6,I26,0.074938264648786
Xylose-5-phosphate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,0.18926316881143396
Xylose-5-phosphate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,0.16645123545988827
Xylose-5-phosphate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,0.0046252042382189645
Xylose-5-phosphate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.010463647006891518
Xylose-5-phosphate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.12973968744032952
Xylose-5-phosphate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.16506124583969922
Xylose-5-phosphate,12C_High-H1_I27,12C,High,H1,I27,0.03376920889639177
Xylose-5-phosphate,12C_High-H2_I28,12C,High,H2,I28,0.11588106647156612
Xylose-5-phosphate,12C_High-H3_I29,12C,High,H3,I29,0.13361334519789067
Xylose-5-phosphate,12C_High-H4_I30,12C,High,H4,I30,0.1559627071602849
Xylose-5-phosphate,12C_High-H5_I31,12C,High,H5,I31,0.16768637711137063
Xylose-5-phosphate,12C_High-H6_I32,12C,High,H6,I32,0.12430633635210894
Xylose-5-phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.16752866832168098
Xylose-5-phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.15157959352213654
Xylose-5-phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.1531070056910776
Xylose-5-phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.1207850707862464
