Measurement Name :,Plate3_20211204_Alex_27C,,Generated On :,"09/12/2021, 13:07:28",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
09.12.21 12:59:55,25.8,245.14,156.01,221.19,189.86,258.33,267.88,272.12,168.83,268.65,189.51,166.79,125.79,279.5,220.83,276,60.83,175.32,226.65,232.52,109.52,224.46,265.2,159.7,,,27,965,0,28.57,
09.12.21 13:00:10,26.05,245.51,153.33,220.83,191.26,257.95,268.65,271.35,167.81,269.04,191.26,164.08,122.89,280.67,220.46,268.27,58.16,175.67,224.1,233.63,106.05,228.48,264.43,177.04,,,27,965,0,28.54,
09.12.21 13:00:25,26.3,244.02,151,220.83,189.86,256.05,269.04,267.88,167.47,271.35,190.56,165.1,121.61,278.72,218.65,264.05,55.8,176.35,221.19,227.75,106.36,221.19,259.85,178.41,,,27,965,0,28.54,
09.12.21 13:00:40,26.55,244.02,148.01,219.74,181.87,255.29,269.04,266.73,165.78,268.27,189.86,164.76,120.65,279.11,219.74,261.37,54.92,175.32,217.57,229.95,102.28,219.38,259.47,167.81,,,27,965,0,28.53,
09.12.21 13:00:55,26.8,244.02,145.37,218.65,179.1,256.81,268.65,265.96,155.67,266.73,191.96,163.75,118.41,281.06,217.93,259.47,52.86,174.64,216.48,230.68,104.16,219.74,257.19,174.98,,,27,965,0,28.51,
09.12.21 13:01:10,27.05,243.27,144.05,219.38,176.7,255.29,268.27,270.58,153.67,269.04,190.56,163.07,115.54,278.72,217.57,260.61,52.56,171.22,217.93,227.39,100.72,223.37,259.85,159.36,,,27,965,0,28.5,
09.12.21 13:01:25,27.3,244.39,142.4,219.01,173.95,256.81,269.04,264.05,154.67,269.42,190.56,162.06,113.31,278.72,216.85,259.85,57.28,174.98,216.12,224.1,103.22,219.74,253.4,155,,,27,965,0,28.49,
09.12.21 13:01:40,27.55,242.52,140.43,217.57,177.38,255.67,267.88,262.9,150.34,267.5,188.81,157.35,111.73,291.68,214.32,260.23,56.39,172.93,215.04,222.28,99.79,224.83,253.78,150,,,27,965,0,28.47,
09.12.21 13:01:55,27.8,242.52,138.13,216.85,169.51,256.05,269.81,260.23,148.34,270.19,188.81,152.33,107.31,280.67,216.48,257.95,54.62,170.88,215.04,219.01,96.98,217.57,255.67,152.33,,,27,965,0,28.46,
09.12.21 13:02:10,28.05,242.52,137.48,216.12,165.78,254.54,282.23,260.23,147.35,268.27,188.46,148.01,105.73,277.94,213.6,257.57,55.51,171.9,208.58,215.76,99.47,224.46,247.38,152,,,27,965,0,28.46,
09.12.21 13:02:25,28.3,242.15,138.46,216.48,162.73,253.78,266.73,254.54,145.04,266.35,185.68,148.01,104.48,283.41,213.24,257.95,54.62,170.88,205.73,217.21,96.36,219.38,248.51,144.05,,,27,965,0,28.43,
09.12.21 13:02:40,28.55,242.15,132.26,216.48,159.03,255.67,266.35,254.54,144.05,268.27,197.58,146.69,100.72,279.11,210.01,255.67,55.8,167.47,203.59,213.96,97.6,217.93,243.27,144.38,,,27,965,0,28.43,
09.12.21 13:02:55,28.8,241.03,130.64,215.4,158.02,255.67,265.58,252.27,141.74,267.12,188.46,144.38,99.16,281.06,211.09,253.03,56.39,170.19,201.47,213.24,97.6,216.12,239.92,144.05,,,27,965,0,28.41,
09.12.21 13:03:10,29.05,241.03,128.69,214.68,155.67,255.29,264.81,251.14,139.11,267.5,187.42,141.08,96.98,280.28,210.01,248.13,54.92,170.19,197.22,212.16,93.26,216.12,241.03,147.35,,,27,965,0,28.4,
09.12.21 13:03:25,29.3,240.66,126.43,213.6,154.67,254.16,265.96,250.01,136.82,265.2,186.72,138.46,94.5,281.84,209.3,245.14,54.33,168.15,196.17,209.66,94.19,216.12,237.69,142.4,,,27,965,0,28.4,
09.12.21 13:03:40,29.55,240.66,123.85,214.32,154,253.78,262.52,247.38,144.05,264.81,185.33,138.46,92.64,283.02,209.3,241.41,54.33,165.44,190.91,203.59,94.81,212.52,234,141.08,,,27,965,0,28.39,
09.12.21 13:03:55,29.8,240.29,121.93,213.6,156.01,254.54,265.2,248.13,132.58,264.05,184.64,136.5,91.41,280.67,200.4,238.06,56.39,163.07,191.96,202.17,89.87,219.74,232.52,140.1,,,27,965,0,28.38,
09.12.21 13:04:10,30.05,239.18,120.33,212.52,148.34,253.03,263.67,248.13,127.72,262.52,183.94,135.52,88.33,281.06,195.11,233.26,55.21,163.41,189.86,199.7,93.26,212.52,229.95,142.73,,,27,965,0,28.36,
09.12.21 13:04:25,30.3,239.18,119.37,212.52,144.05,252.27,262.9,247.01,125.14,260.99,182.9,132.58,86.48,279.89,194.41,231.05,55.21,166.45,185.68,196.87,93.26,213.96,227.39,144.05,,,27,965,0,28.36,
09.12.21 13:04:40,30.55,238.81,114.58,212.52,141.08,252.27,264.43,239.92,123.85,258.33,182.56,131.93,83.73,279.89,192.66,231.05,53.15,163.07,183.94,195.82,92.03,212.88,228.12,135.84,,,27,965,0,28.35,
09.12.21 13:04:55,30.8,238.43,111.41,211.81,139.44,252.65,262.52,239.55,124.82,257.95,183.6,127.72,80.37,279.5,187.76,229.22,55.51,163.07,183.25,193.71,92.33,216.12,229.22,133.56,,,27,965,0,28.33,
09.12.21 13:05:10,31.05,237.69,108.88,211.09,138.79,251.89,262.9,238.06,121.29,256.05,183.25,125.46,79.76,280.28,184.29,226.65,54.33,163.07,180.83,191.61,90.17,217.93,224.83,133.24,,,27,965,0,28.33,
09.12.21 13:05:25,31.3,238.06,106.68,211.09,133.56,253.03,261.76,236.95,118.41,254.54,179.45,120.01,76.43,278.72,182.21,223.74,54.33,160.37,177.04,188.11,88.63,222.64,219.01,136.17,,,27,965,0,28.32,
09.12.21 13:05:40,31.55,237.69,106.05,210.37,131.29,252.27,262.52,235.1,117.45,251.52,180.14,117.77,74.91,281.84,177.04,225.92,53.15,161.72,175.67,184.29,89.87,216.12,219.38,135.19,,,27,965,0,28.3,
09.12.21 13:05:55,31.8,236.58,101.66,209.66,125.14,251.52,261.76,239.92,112.36,248.88,179.79,115.22,70.99,277.16,177.04,223.01,54.33,158.35,172.58,180.83,89.56,217.21,218.65,133.89,,,27,965,0,28.29,
09.12.21 13:06:10,32.05,236.95,99.47,209.3,128.05,251.52,262.14,231.79,109.83,268.65,176.7,114.58,70.99,281.45,173.61,222.64,53.44,160.04,174.64,180.14,88.94,217.93,221.92,130.64,,,27,965,0,28.29,
09.12.21 13:06:25,32.3,236.58,96.98,209.3,123.21,252.65,260.23,230.68,107.94,249.26,177.38,111.73,66.79,278.33,166.45,220.46,51.97,157.01,173.27,177.38,88.63,214.32,223.74,129.66,,,27,965,0,28.28,
09.12.21 13:06:40,32.55,236.21,94.81,209.3,118.73,251.89,262.52,229.58,105.11,247.01,177.04,112.36,65.3,281.45,162.73,219.38,52.27,160.04,173.27,171.22,86.48,221.19,222.64,132.91,,,27,965,0,28.26,
09.12.21 13:06:55,32.8,235.47,92.64,207.87,115.86,250.76,258.71,228.85,104.48,241.03,176.01,106.99,63.81,279.89,159.36,218.65,50.8,156.01,169.51,169.17,83.73,217.21,221.19,128.05,,,27,965,0,28.26,
09.12.21 13:07:10,33.05,235.1,91.41,207.87,120.97,251.89,259.09,228.85,112.68,242.15,175.67,105.42,62.02,278.72,155.67,216.48,51.97,154.67,168.83,167.47,82.2,217.21,220.46,126.43,,,27,965,0,28.24,
