"","Compound","isotope","mean","se"
"207","Ribitol","Dark-13C",0.0186385226826276,0.00352010631595627
"208","Ribose phosphate","12C",0.00355246166543939,0.000621397944406679
"209","Ribose phosphate","13C",0.0774513001197446,0.000755881931294146
"210","Ribose phosphate","Dark-13C",0.00295727115368649,0.00147863557684325
"211","S-adenosyl-L-homocysteine","12C",0,0
"212","S-adenosyl-L-homocysteine","13C",0,0
"213","S-adenosyl-L-homocysteine","Dark-13C",0,0
"214","Serine","12C",0.0047728063578759,0.000346436796022214
"215","Serine","13C",0.059612415086357,0.00169945863960502
"216","Serine","Dark-13C",0.0057160513756846,0.00104531857472262
"217","Sorbitol","12C",0.00146422620069563,0.000100318631509165
"218","Sorbitol","13C",0.0429366684308684,0.000683497374792544
"219","Sorbitol","Dark-13C",0.000436636908935366,0.000120410550819703
"220","Succinate","12C",0.000123071672924552,1.36391425778899e-05
"221","Succinate","13C",0.149369135799866,0.00176985222984603
"222","Succinate","Dark-13C",0.00460949916282971,0.000432624662881168
"223","Taurine","12C",0.000238988239289468,3.92627702461366e-05
"224","Taurine","13C",0.0162652779081847,0.000307470026233373
"225","Taurine","Dark-13C",0.000152251232815888,7.61256164079441e-05
"226","Theanine","12C",0,0
"227","Theanine","13C",0.000279467194542552,5.64149717065855e-05
"228","Theanine","Dark-13C",0,0
"229","Thiamine","12C",0,0
"230","Thiamine","13C",0,0
"231","Thiamine","Dark-13C",0,0
"232","Threonine","12C",0.000104628494058943,1.63287792797779e-05
"233","Threonine","13C",0.00485078287850189,0.000237656553899103
"234","Threonine","Dark-13C",0.00248229472005573,0.000284315896577634
"235","Thymidine","12C",0,0
"236","Thymidine","13C",0.000130771995952971,2.54569265379035e-05
"237","Thymidine","Dark-13C",0,0
"238","Thymine","12C",0,0
"239","Thymine","13C",0,0
"240","Thymine","Dark-13C",0,0
"241","Tryptophan","12C",0.0353772225404451,0.00507301048487721
"242","Tryptophan","13C",0.0180453197715101,0.000822977446372451
"243","Tryptophan","Dark-13C",0.0579725850601112,0.026102446094385
"244","Tyrosine","12C",0.00464455978196179,0.000360424348408628
"245","Tyrosine","13C",0.00510266126488538,0.000184453513605176
"246","Tyrosine","Dark-13C",0.0231177632563319,0.00926197106011539
