label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Blank4,Blank5,12C_Ambient-A1_I7,12C_Ambient-A2_I8,12C_Ambient-A3_I9,12C_Ambient-A4_I10,12C_Ambient-A5_I11,12C_Ambient-A6_I12,12C_High-H1_I27,12C_High-H2_I28,12C_High-H3_I29,12C_High-H4_I30,12C_High-H5_I31,12C_High-H6_I32,13C_Ambient-A1_I1,13C_Ambient-A2_I2,13C_Ambient-A3_I3,13C_Ambient-A4_I4,13C_Ambient-A5_I5,13C_Ambient-A6_I6,13C_High-H1_I21,13C_High-H2_I22,13C_High-H3_I23,13C_High-H4_I24,13C_High-H5_I25,13C_High-H6_I26,Dark-13C_Ambient-Pool_I19,Dark-13C_Ambient-Pool_I20,Dark-13C_High-Pool_I39,Dark-13C_High-Pool_I40
,14,21,27,267.092529,2.824,0.850835,,C13-label-1,Adenosine,Adenosine,C10H13N5O4,0.224,1.142583,266.089691,3131.45,8028.85,5098.44,6310.06,6093.71,123361.2,102480.88,16286.62,125404.96,108639.77,99986.5,131587.05,87760.4,86236.65,58827.68,58590.16,105589.94,266742.5,207765.2,97772.82,156808.89,164095.81,305576.5,157427.89,106525.5,197405.42,289044.25,180663.94,148166.02,41770.77,37505.64,14543.47,16634.78
,14,22,22,268.095184,2.815,0.847231,,C13-label-2,Adenosine,Adenosine,C10H13N5O4,0.215,3.756413,266.089691,3049.52,1656.02,812.87,624.16,787.04,9899.86,5085.5,2483.48,8341.46,11579.15,9698.97,11678.59,2957.7,3430.16,9599.05,5851.97,4035.78,42727.93,35981.95,14601.54,26568.44,27450.47,50908.7,24768.59,16004.53,30666.51,42557.83,29424.24,20963.29,2816.13,1474.26,1588.23,1040
,14,23,12,269.099426,2.81,0.847178,,C13-label-3,Adenosine,Adenosine,C10H13N5O4,0.21,0.453625,266.089691,0,745.67,0,0,0,0,0,0,0,1356.27,0,0,0,0,0,0,1267.95,25156.46,21211.3,7962.08,16010.15,11948.85,25718.55,11005.07,9290.81,12846.94,20176.33,14947.29,12905.07,0,0,0,0
,14,24,12,270.102905,2.846,0.824492,,C13-label-4,Adenosine,Adenosine,C10H13N5O4,0.246,0,266.089691,0,0,0,0,0,0,0,0,0,0,0,0,1299.4,0,0,0,0,18127.33,8870.31,3544.02,9074.74,8027.2,15466.78,6015.4,5587,7352.26,12324.4,7697.06,10813.81,0,1798.51,0,0
,14,26,4,271.106659,2.809,0.709659,,C13-label-5,Adenosine,Adenosine,C10H13N5O4,0.209,1.463369,266.089691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4952.87,6026.64,1407.45,4730.7,2006.63,8785.28,1681.64,1094.57,2262.64,4741.9,2274.1,4868.03,0,0,0,0
,25,25,24,87.008804,2.801,0.664699,[M-H]-,C12 PARENT,Pyruvate,Pyruvate,C3H4O3,0.271,0.438427,87.008804,653298.69,50275.77,35664.29,39116.72,34658.11,461368.75,639077.56,332953.03,275253.91,442831.09,281516.97,434634.41,462307.25,393156.66,198606.12,262274.53,388298.09,514098.34,449998.22,328109.16,289044.25,444992.59,661663.44,426412.22,163781.25,379750.72,453589.47,336043.41,298417.47,165190.2,164862.89,143126.94,132314.56
,25,31,22,88.012207,2.793,0.846346,,C13-label-1,Pyruvate,Pyruvate,C3H4O3,0.263,0.953543,87.008804,24864.8,2624.41,1627.75,2651.66,1041.61,17477.67,22376.7,11969.58,9897.88,16368.44,9967.73,15828.4,18087.2,14224.63,4704.78,9133.95,15052.23,158162.17,154694.25,93047.97,90436.96,112772.91,175007.52,98778.16,38067.16,96520.1,101960.75,77648.07,75219.27,6698.46,9874.11,7208.38,8495.02
,25,32,12,89.015503,2.829,0.851135,,C13-label-2,Pyruvate,Pyruvate,C3H4O3,0.299,0.257126,87.008804,0,0,0,502.31,0,0,0,0,0,0,0,1513.36,0,0,0,0,0,113567.96,121993.66,70416.41,72782.28,88261.06,133780.3,66178.77,31259.6,73215.49,60461.1,56699.75,63111.21,0,0,0,0
,25,33,12,90.018883,2.829,0.847063,,C13-label-3,Pyruvate,Pyruvate,C3H4O3,0.299,0.593273,87.008804,1712.47,793.39,0,462.03,0,0,0,0,592.5,0,0,0,1460.6,0,0,0,1342.23,36160.81,43554.23,23627.59,22915.48,32009.88,42684.04,27994.8,14576.97,24926.98,24640.09,20276.04,24324.14,0,0,0,0
,34,34,25,134.047363,2.594,0.825538,[M-H]-,C12 PARENT,Adenine,Adenine,C5H5N5,0.094,1.024483,134.047363,1076509.12,372169.41,31505.6,38551.54,23467.1,4037469,3499396,402590.41,2672948.75,4427590.5,2458591.75,4690146,3124931,3261550.25,2001502.38,1127963,3103594.75,7509555.5,8176006,1758452.38,2798784,4358289.5,9082338,2641984.25,1382478.88,3867780.75,7458638.5,4853176.5,4217855.5,1566582.88,713729.5,256827.05,256382.19
